"id"	"novel_name"	"novel_author"	"novel_click"	"novel_count"	"novel_type"	"novel_recommend"	"novel_detail"	"time"	"url"
"1"	"猎宝档案之倾城铜雀"	"辰"	"1176.6万点击"	"159.6万字"	"[都市, 鉴宝, 风水, 爽文]"	"29推荐"	"  夫天地者,万物之逆旅。光阴者,百代之过客。倾城铜雀，隐藏着一段千年的爱恨情仇、悲欢离合。  一场引狼入室的盗窃让孙二狗这个农村的山炮步入了繁华的都市，踏上了缉贼之路。他如同误入城市的乡下土狗，进一步摇尾乞怜衣食无忧，退一步龇牙咧嘴万丈深渊，他进进退退跌跌撞撞，愣是成了世人眼中杀千刀的狗贼。 "	"更新时间：2022-07-31 23:00:00"	"http://www.shuhai.com/book/109940.htm"
"2"	"霸道仙厨"	"果子仙宴"	"158.6万点击"	"134.1万字"	"[修真, 废材流, 练功流, 升级, 修仙]"	"4080推荐"	"  一手厨艺烹饪仙灵食物，丹药算什么？食补永远比药补强！吃遍天下，吞天食地！  这是一部挥舞菜刀杀敌修仙的古典仙侠故事！ "	"更新时间：2020-12-11 13:12:25"	"http://www.shuhai.com/book/846.htm"
"3"	"暴力丹尊"	"李中有梦"	"2553.2万点击"	"2,118.9万字"	"[玄幻, 丹药, 修仙, 精品, 打上上苍]"	"3676推荐"	"  不死丹尊陈玄炼丹时候被炸死，重生在风云大陆，本想安安静静的炼丹升级，偏偏得保护一个十五岁的小丫头。  杀敌？陈玄抛出了强力致幻剂，顿时战斗场面变得群魔乱舞。  修炼？随意炼制双倍玄灵丹，等级一路绿灯。  什么？你说我一个炼丹的这么厉害？我没告诉你前世是因为打遍天下无敌手之后才去炼丹的吗。  "	"更新时间：2024-05-02 22:00:00"	"http://www.shuhai.com/book/40461.htm"
"4"	"武道剑帝"	"黑骑士"	"58.8万点击"	"91.5万字"	"[玄幻, 升级, 强者, 热血, 逆袭]"	"0推荐"	"  少年叶辰被人夺灵脉，遭陷害，更为家族带来灾难。意外激活九阳剑体成为通天剑神塔的主人，重新凝聚丹田恢复修为，修无上剑诀，踏无敌之路！一剑劈开混沌阴阳，一拳轰爆宇宙乾坤！吾为剑帝，天下共平！ "	"更新时间：2024-05-02 19:30:00"	"http://www.shuhai.com/book/110926.htm"
"5"	"相宝2：秘物"	"炎宗"	"2908.0万点击"	"370.2万字"	"[都市, 鉴宝, 探宝]"	"9385推荐"	"  作伪高手卢灿，在伙同他人获得“金缕玉衣”成功后，遭到 同伴暗算，魂魄占据了1978年香江一位阿飞的身体。 获得新生的卢灿，背负着振兴卢家的重任。远赴缅甸，结交缅甸矿石大亨 杨天和，为家族企业“纳徳轩”玉器店的扩张，奠定基础。在缅甸时，偶 遇上辈子的师门传承，他无意中得到玖宝阁《金石秘录》，成为玖宝阁第 二十代传人。由此，开始他传奇一生。 "	"更新时间：2024-04-25 16:22:33"	"http://www.shuhai.com/book/103381.htm"
"6"	"九婴邪仙"	"文字控"	"1696.4万点击"	"237.3万字"	"[修真, 废材流, 练功流, 升级, 修仙]"	"7054推荐"	"  故老相传，超脱于修真界之外，有一个浩瀚的仙界，百族林立，有莫大的机遇，有无尽的天材地宝，更有无尽的修炼福地。龙颜，身怀九个元婴的怪才，一步步踏上修仙之路，他该如何求仙证道，斩尽九天十地，成就无上仙路。  新书《不灭龙丹》已上传，求支持！ "	"更新时间：2014-05-13 20:01:22"	"http://www.shuhai.com/book/429.htm"
"7"	"重生最强高手"	"乱武完杀"	"670.9万点击"	"128.3万字"	"[都市, 吐槽]"	"25推荐"	"  “元尊”陈元重生到五百年前的地球。  这一世，他不再是弃少！  这一世，脚踏仇敌！  这一世，醉卧美人膝，这一世，唯吾独尊。 "	"更新时间：2020-12-08 09:53:34"	"http://www.shuhai.com/book/45495.htm"
"8"	"肖光捷奇案"		"2805.3万点击"	"160.6万字"	"[都市, 凶案, 刑侦, 探宝]"	"6612推荐"	"  他是一个平凡中有个性的人，正处在由旧时代向新时代迈进的前夜，面对各式不怀好意者制造的各种奇案，他能秉持正义，奋不顾身地与奸盗恶寇们斗智斗勇，在纵横交借极为复杂的迷案中，保持清醒，理清思路，廓清障碍，以力拔山兮的气概将一个个超级奇案拿下。他，就是罪恶的克星大侦探肖光捷。 "	"更新时间：2019-03-26 10:49:39"	"http://www.shuhai.com/book/53579.htm"
"9"	"重返1987"	"奔腾286"	"1975.5万点击"	"467.0万字"	"[都市, 回归, 热血, 逆袭, 坚毅]"	"18469推荐"	"  亿万富翁梁欢穿越回到了1987年，成了一个卑微男，老婆被撬，家徒四壁，只有一个小寡妇默默守护在身边。重生一次，赚钱已经非常简单，这一世，他不仅要做改革开放的弄潮儿，还要将未来紧紧握在手中。 "	"更新时间：2024-04-30 23:00:00"	"http://www.shuhai.com/book/103385.htm"
"10"	"从一头种驴开始进化"	"奔腾286"	"388.8万点击"	"79.4万字"	"[玄幻, 系统, 升级, 热血, 爽文]"	"6593推荐"	"  从一头种驴开始进化，一路进化，一路爽。 "	"更新时间：2021-03-29 20:10:00"	"http://www.shuhai.com/book/90583.htm"
"11"	"通天武尊"	"疯狂燃烧"	"356.0万点击"	"207.2万字"	"[玄幻, 热血, 爽文]"	"2828推荐"	"  九界武帝在争夺神器时陨落，重生在了一个没有灵脉的少年身上，从此踏上了逆天通神之路。  焚九幽，踏八荒，控诸天，屠神魔！  掌御星辰纵九霄，三千世界我独尊！ "	"更新时间：2017-03-15 20:45:44"	"http://www.shuhai.com/book/38600.htm"
"12"	"张家摸金秘术"	"张家四叔"	"412.6万点击"	"131.8万字"	"[悬疑, 盗墓, 风水, 冒险, 探宝]"	"710推荐"	"  自古以来，张家人不称帝称王，守护天下龙脉皇陵，绘制出《龙脉陵图》，每逢灾年乱世，祭天拜地，告明祖宗，从陵墓中取出陪葬明器以救天下黎民百姓，张家族长被同行盗界誉为倒斗魁首。  时封灾年，《龙脉陵图》意外失窃，魁首张慈被迫金盆洗手，张家地位迅速下沉，盗墓界为了寻找《龙脉陵图》和争夺魁首之位，众势力混乱不堪，张家被视为众矢之的，张家人迫不得已下墓倒斗，发生了千百年以来第一次倒斗翻车事件，死伤无数，元气大伤，从此一蹶不振。  二十年之后，《龙脉陵图》再现世间，一个个皇陵大墓信息外泄，暗藏无限杀机，一场数千年陵墓护盗之战拉开序幕，引出断层百年秘辛。 "	"更新时间：2024-04-25 13:39:45"	"http://www.shuhai.com/book/110861.htm"
"13"	"穿越倚天之我是韩林儿"	"本色农民"	"215.6万点击"	"169.8万字"	"[武侠, 热血, 争霸, 宋明]"	"11345推荐"	"  穿越进《倚天屠龙记》的武侠世界。  先后邂逅了小昭、赵敏和周芷若，也不知道这几个姑娘们，将会如何相处。 "	"更新时间：2020-10-19 08:18:00"	"http://www.shuhai.com/book/57298.htm"
"14"	"超品小农民"	"东方邵康"	"607.7万点击"	"140.2万字"	"[都市]"	"3529推荐"	"  一二三四五六七，种地养鱼开飞机；七六五四三二一，美女扎堆倒着追。  农业大学毕业的苦命少年杨昊灵泉入体，搞养殖、耕荒山、兴农业、振经济、斗强敌，一步步成为商业大鳄，成就逍遥人生。  面对柔情校花、极品女村长等各路美女的穷追，杨昊疾呼：“你们不要太殷勤，我还要建设新农村！” "	"更新时间：2020-11-17 10:21:56"	"http://www.shuhai.com/book/38271.htm"
"15"	"终极漂移"	"奔腾286"	"245.5万点击"	"66.3万字"	"[都市, 热血, 竞技, 司机, 脑洞满天飞]"	"3377推荐"	"  前东望洋汽车锦标赛冠军云楷，参加警方一次清查活动中，抓获了国际刑警通缉要犯斯科特，后受到打击报复，父亲惨死，妹妹被抓，毅然走上了追寻妹妹的复仇之路。 "	"更新时间：2020-08-31 17:10:00"	"http://www.shuhai.com/book/58875.htm"
"16"	"奋斗在蛮荒时代"	"本色农民"	"210.9万点击"	"74.3万字"	"[历史, 小农民, 末世, 洪荒]"	"10138推荐"	"  他来到了古器时代，却发誓要带领他的小伙伴们，将人类带从蛮荒中，从石器时代中带出来，从此，他开始了苦苦的耕耘！  他还发誓，他要靠自己的努力创造一个更加伟大的民族！  他最感谢的还是他的小学中学大学的老师们，当身处在石器时代里的时候，他才发现，老师们教导他的每一样知识，这时候都是如此的有用！ "	"更新时间：2020-10-22 09:00:00"	"http://www.shuhai.com/book/58880.htm"
"17"	"最强反派"	"梦想在飞扬　"	"647.0万点击"	"210.5万字"	"[玄幻, 系统, 无敌流, 扮猪吃虎, 腹黑]"	"2193推荐"	"  叮！恭喜宿主穿越成功！  获得穿越大礼包十连抽，是否开启！  “开启！”  叮！恭喜，宿主获得永恒不死之躯！恭喜，宿主获得永恒绑定空间戒！恭喜，宿主获得主角光环！恭喜，宿主获得反派仇恨值……宅男魂穿异界，获得大反派系统。开局十连抽，从此，走上开挂一般的无敌人生巅峰！  一觉醒来，叶枭赫然发现这世间没有他做不到的，只有他想不想！杀人就升级，杀怪就掉宝！绝世美女、无敌实力、无上权柄、无尽财富。这些，在叶枭面前都唾手可得。  这是一个穿越即开挂，既然开挂。那便当个随心所欲，为所欲为大反派的故事！  叶枭站在万古的尽头，回眸邪魅一笑道：“我是大反派，史上最强反派！” "	"更新时间：2022-07-30 08:18:00"	"http://www.shuhai.com/book/90444.htm"
"18"	"玄幻：我，无限模拟，成就大帝"	"小江河子"	"200.8万点击"	"154.3万字"	"[玄幻, 废材流, 升级, 修仙, 无敌流]"	"39推荐"	"  浩瀚万里，亿万生灵争锋，谁可踏上无上大道，成就人族大帝？  三千大道，六千本源，谁可化为无上至尊，镇守宇宙洪荒？  一切都从一个小小的模拟器开始…… "	"更新时间：2023-10-15 23:00:00"	"http://www.shuhai.com/book/110746.htm"
"19"	"武破苍穹"	"萧妖"	"368.5万点击"	"174.8万字"	"[玄幻, 兵王, 强者, 回归, 热血]"	"91694推荐"	"  莫名天使降落在残废少爷身上，少年穿越到异世，会出现怎样的火花？  一时的低沉，并不能说明什么，未来的辉煌，才是才是真正的帝王，人谤我、欺我、辱我、笑我、轻我、贱我、恶我、骗我，我直接弄死你，大道千千，生命绵绵，总有一天我会杀死你。  有志者，事竟成，破釜沉舟，百二秦关终归楚。  苦心人，天不负，卧薪尝胆，三千越甲可吞吴。  破异族，战幻镜，血洒灵族，天使伴身，影运逆天，一动山河碎，一念星辰毁，穷毕生书写传奇，成就幻神。(交流群号****)  恒岁眼：观世界，看古今，望眼欲穿，堪破虚妄  星云手：消能量，逆苍空，乱法则，覆世界  光明手：旷宇阻，越时空，百转千回，右手刑天  幻神心：赤子心，天地鉴，绛星魂天，劫咒燊幻  劈云腿：行云间，云雾闪，力破万法，力贯九天  神行腿：  擎天骨：骨傲天，似流年，钢筋铁骨，魂葬昱湉  殇世翼  神将铠 "	"更新时间：2016-12-29 21:09:31"	"http://www.shuhai.com/book/38806.htm"
"20"	"修仙强者重回都市"	"我吃大玉米"	"2067.5万点击"	"631.2万字"	"[都市, 碾压, 爽文, 励志, 精品]"	"3836推荐"	"  当年，叶玄狼狈离去，生死未卜。  如今，叶玄回来了，当君临天下！  那些辱我，讽刺我的，讥笑我的，你们的噩梦来了。 "	"更新时间：2022-02-20 12:03:15"	"http://www.shuhai.com/book/40358.htm"
"21"	"斗罗之雷战法师"	"黑幕底十三"	"395.2万点击"	"92.6万字"	"[玄幻, 升级, 无敌流, 扮猪吃虎, 阳光]"	"38推荐"	"  黑发少年苏雷纵横大陆为寻自己失踪的老师，却误入帝国纷争，不得已陷入家族之乱。  斗魂？那是什么？  斗技？我需要吗？  斗星？六颗金色的见过吗？  你问我修为多少？苏雷自己也不清楚，只知道自己魔武双修，人称雷战法师。 "	"更新时间：2021-12-31 16:46:50"	"http://www.shuhai.com/book/101614.htm"
"22"	"战狼2:国家利刃"	"飞永"	"2156.9万点击"	"112.0万字"	"[军事, 铁血]"	"12070推荐"	"  国宝级科学家被境外恐怖势力绑架，某个军事强人妄图武力入侵我边疆，报复我戍边将士，我战狼特种兵雷霆出击，猎杀国际雇佣兵分队，挑战越南王牌狙击手，血战日本忍者战士，手刃美国海豹出身的金牌杀手，孤军深入险境，强敌四面环伺，他们只能背水一战，大杀四方。 "	"更新时间：2016-05-31 09:04:00"	"http://www.shuhai.com/book/37719.htm"
"23"	"疯狂透视眼"	"魂归百战"	"525.6万点击"	"145.4万字"	"[都市, 热血, 护短, 励志, 轻松]"	"2594推荐"	"  透视眼，不仅能赌石、鉴宝、看病，还能探矿、搜赃破案。拥有透视大千世界能力的秦远方进入了完全不一样的生活。 "	"更新时间：2012-11-06 17:33:20"	"http://www.shuhai.com/book/643.htm"
"24"	"极品神医"	"静待成魔 ."	"547.9万点击"	"370.2万字"	"[都市, 精品]"	"190推荐"	"  巫医山上犯了错的传人丁磊被迫下山红尘炼心，却不想被卷入都江地下势力的争斗中，一念天堂，一念地狱，红尘中丁磊是走神途还是魔路？昔日错误是否是他一生的羁绊？巫医山的传说到底能不能让他平定天下？敬请期待丁磊如何游戏这人间。 "	"更新时间：2016-12-28 02:30:00"	"http://www.shuhai.com/book/33888.htm"
"25"	"极限狂飙"	"奔腾286"	"240.0万点击"	"102.1万字"	"[都市, 司机, 爽文, 机智, 轻松]"	"2638推荐"	"  云铎，现役的wrc车手，不慎陷入一场阴谋之中，导致爱人殒命，自己也回国避难。偶然的一个夜晚，出手教训了一伙地下赛车的二少们，自此陷入了无尽的挑战之中。与此同时，市交警大队大队长钟夜臣正在督办清查地下赛车党一案，云铎偶然与其相识，决定帮助钟夜臣肃清地下赛车党，还社会一个安宁。 "	"更新时间：2020-04-30 12:10:00"	"http://www.shuhai.com/book/56803.htm"
"26"	"万古主宰"	"梦想在飞扬　"	"1547.0万点击"	"285.2万字"	"[玄幻, 热血, 阵法, 无敌流, 爽文]"	"6142推荐"	" 一代剑神萧锋头顶造化玉碟脚踏混沌青莲携开天神剑临异界从此一人一剑纵横九州无敌手一剑西来神鬼惊一剑锋芒万古寒吾之道主宰大道吾之剑万剑至尊吾乃万古主宰新书最强反派 "	"更新时间：2019-08-01 02:30:55"	"http://www.shuhai.com/book/41125.htm"
"27"	"校花老婆爱上我"	"纯洁的地瓜"	"264.0万点击"	"123.7万字"	"[都市, 神医, 爽文, 轻松]"	"244推荐"	"  从特种部队退役出来的首席毒医秦风可怜兮兮地从山里走出来了。  想学什么东西一学便会。从此秦风不再寂寞了。 "	"更新时间：2021-01-25 13:53:23"	"http://www.shuhai.com/book/1116.htm"
"28"	"遮天大主宰"	"萧妖"	"376.1万点击"	"233.4万字"	"[玄幻, 精品]"	"74762推荐"	"  当快刀遇上快剑，刀光剑影。  当快剑遇上快拳，皮开肉绽。  当快拳遇上快枪，虎拳龙枪。  一个天才少年，一路势不可挡的晋升之路，你是天才吗，那我碾压你，在我面前叫嚣，那我斩杀你。  辰家天才少年无意中在一处秘境中获得了一个神秘晶方，晶方可以让武者的各方面因素瞬间提升到匪夷所思的程度，带着各种因素，自此辰熙便踏上了漫漫武修之路。 "	"更新时间：2020-12-02 14:12:23"	"http://www.shuhai.com/book/40455.htm"
"29"	"相宝"	"炎宗"	"1049.4万点击"	"262.1万字"	"[都市, 热血, 精品, 名家]"	"23261推荐"	"  【2017火热连载】  既然青春留不住，莫让光阴虚空度！  既然有机会重来一遍，既然已经抢了别人的身躯，那么，就不在乎再多抢点！文玩、玉器、字画、陶瓷、青铜器……还有那些未曾发掘的宝藏……不管你是谁的，从今以后，就是我的！  我的爱好是古董，还有宝藏，当然，如果美女入品，不妨先收藏着点！  我是卢灿，我爱美好！ "	"更新时间：2020-08-13 22:42:44"	"http://www.shuhai.com/book/41264.htm"
"30"	"异国猎宝档案"	"炎宗"	"619.2万点击"	"390.3万字"	"[都市, 鉴宝, 探宝, 腹黑, 轻松]"	"8350推荐"	"  【2019年最权威鉴宝类作品】  “我是谁？”  居住于纽约宾臣墟的华人青年威尔斯李，遭袭后醒来，医院诊断为“受创型解离遗忘症”，丢失部分记忆。  他忘了以前很多事，忘了从哪里来，忘了有没有亲人，忘了有没有朋友，忘了银行有没有钱，忘了自己那一身神鬼莫测的作伪术和化妆术跟谁学的，忘了房子在哪，甚至忘了和谁产生恩怨结果被打昏迷住院。  可是，偏偏没有忘记那一身高超的作伪手艺，还有，心中对华夏古董喜爱的执念。  异国他乡，他开始了找回记忆之旅，同时也是一路  随着记忆一点点被剥开，美国知名黑帮、国际作伪团体、国家特殊机关、欧美艺术品盗窃团伙、尘封千年的宝藏之谜，好莱坞明星，一一登场……  一路寻宝，一路风流！ "	"更新时间：2021-04-30 12:00:00"	"http://www.shuhai.com/book/54730.htm"
"31"	"神医小农民"	"方长"	"572.2万点击"	"719.6万字"	"[都市, 神医, 小农民, 强者, 精品]"	"974推荐"	"  身怀起死回神医术的兵王周游退役回到农村，搞种植，弄旅游，将一个荒村建成了人人向往的世外桃源。  以祖传的《神农医经》，治绝症，疗百毒。“美女，我看你身有顽疾，你除去衣服，我给你施个针？” "	"更新时间：2020-10-02 10:00:00"	"http://www.shuhai.com/book/40295.htm"
"32"	"吞天魔帝"	"雨打芭蕉"	"416.1万点击"	"341.4万字"	"[玄幻, 热血, 修仙, 勇猛]"	"52推荐"	"  少年林耀阳被骗武斗台生死杀戮，侥幸存活下来，却再遭打击，生死之际得到魔帝传承，开启混沌血棺，一路杀伐果断，成为新一代吞天魔帝。 "	"更新时间：2023-11-30 20:10:00"	"http://www.shuhai.com/book/110450.htm"
"33"	"极品校园修仙高手"	"阿拉丁神灯"	"65.9万点击"	"207.9万字"	"[都市, 校园]"	"9推荐"	"  一代仙尊，重生地球十七岁那一年。  从此逆天改命，将前世的遗憾一一解决。  一步一步再次重登九天之尊！ "	"更新时间：2021-01-02 10:31:00"	"http://www.shuhai.com/book/57304.htm"
"34"	"大罗金仙逍遥记"	"朕布衣"	"403.7万点击"	"116.2万字"	"[都市, 热血, 爽文]"	"39332推荐"	"  一向闷骚胆小的岳擎达为救心爱女孩而遭遇车祸，被堕入轮回的大罗金仙元神附身融合后历劫重生，从此性情大变，冷厉而果决，混迹于花花都市，开始了一段香艳而铁血的都市生活。在岳擎达经历了重重的桃花劫难后，他也再次重回仙道巅峰，问鼎九天至尊的宝座！ "	"更新时间：2013-01-28 02:36:32"	"http://www.shuhai.com/book/1150.htm"
"35"	"秦岭山宝"	"紫芒果"	"655.7万点击"	"21.3万字"	"[都市, 坚毅, 阳光, 励志]"	"85690推荐"	"  乡村振兴，责任重大。绿水青山就是金山银山，秦岭深处晒台村，在驻村第一书记方群山的扎根式工作的引导下，不仅物质生活发生翻天覆地的改变，精神生活也并进提升，复兴的非遗传承晒台影子戏班大受欢迎，年轻的戏剧传承人编成一出反映新时代山乡变化的《秦岭山宝》影子剧，在全国各地上演。人们通过这个剧了解到在这片广袤山原土地上，正在发生的天翻地覆史诗性变革，秦岭山宝不仅指的是山中的玉木耳、金兔皮和皮影戏，还有那些为大家过上好日子付出心血汗水的第一书记们，以及那些努力为美好生活而奋斗的人民。 "	"更新时间：2024-02-04 10:31:00"	"http://www.shuhai.com/book/110103.htm"
"36"	"秦岭密档"	"微尘"	"29.2万点击"	"37.9万字"	"[悬疑, 盗墓, 盗贼]"	"5推荐"	"  一场山洪；  一个受灾的村庄；  一众消失在废墟之下的村民；  一宗数十年未解的悬案……  你可知道，秦岭深处、地宫之中，竟有银河亘古闪耀，托起一口口摇曳的棺椁。  你可知道，秦岭深处、白雪之上，竟有卧雪不腐的古尸，凝望千年。  你可知道，秦岭深处、密林之间，竟有形同发丝疯长的植物，让每一个入侵者化为枯骨。  你又是否知道，有这么一群人，他们从来没有出现在阳光下，但足迹却遍布大江南北，活成了行走的故事。  朋友，你听，  是什么在呼唤？ "	"更新时间：2024-04-27 20:00:00"	"http://www.shuhai.com/book/111412.htm"
"37"	"九域天尊"	"上将司令"	"598.3万点击"	"371.6万字"	"[玄幻, 精品]"	"2817推荐"	"  十万年前，大千位面爆发百族混战，人族也未能幸免，惨烈的战斗致使大千位面秩序崩溃，天道坍塌，致使十万年来无人能够成神证道。  十万年后，元阳大陆风云人物莫星云进入震界神碑之境寻求证道，却意外陨落，于百年后重生，再度开启一场精彩绝伦的逆天之旅。 "	"更新时间：2017-05-10 16:09:56"	"http://www.shuhai.com/book/38306.htm"
"38"	"刚下山：治好未婚妻怪病"	"独赢八张"	"83.0万点击"	"80.4万字"	"[都市, 神医, 扮猪吃虎, 爽文, 机智]"	"0推荐"	"  天纵奇才王奇，天资聪颖，修为甚高却注定活不过二十五，多年挣扎无果后，决定不再耽误有限生命，下山！退婚！本想着身家清白后查明家族覆灭真相，为其报仇，却不想，麻烦一件接着一件，阴谋也一个跟着一个，高手下山升级打怪，最后一路扶摇直上，统一几大家族。 "	"更新时间：2023-05-12 17:54:41"	"http://www.shuhai.com/book/110777.htm"
"39"	"符道仙途"		"497.2万点击"	"50.0万字"	"[修真, 修仙, 神符]"	"876推荐"	"  符师，不知在修真界流传了多久的一个职业，是从什么时候流传下来的已经无从考究，但所有人都知道，有资质之人却未必能成为符师，而成为符师之人却各个是非常之辈,以符修道，行踏天之途。 "	"更新时间：2023-12-14 16:49:05"	"http://www.shuhai.com/book/111486.htm"
"40"	"海贼：挥剑百万次，海军剑神竟是我自己"	"李斯瑜"	"153.3万点击"	"101.3万字"	"[同人, 系统, 热血, 无敌流, 冒险]"	"493推荐"	"  简介:  意外穿越到一个荒芜偏僻地界。  村子饱受山贼冲击，  作为全村的希望，村长告诉小家伙，几百里外莫罗镇有海军支部驻扎，加入海军，可借助其力量庇佑村子。  天赋异禀的他想也不想就前往。  几个月后，卡普站在他面前道，“呦，你就是那个不错的苗子吗？  感受一下爱的铁拳。”  叶航眉头一皱，这才发现事情并不简单。 "	"更新时间：2022-12-26 18:58:30"	"http://www.shuhai.com/book/103496.htm"
"41"	"东北看事人"	"山仙儿"	"71.1万点击"	"69.1万字"	"[悬疑, 机智]"	"7推荐"	"  我叫王伟，我是一个看事人，在东北专门给人看邪巴病的。  我虽然学的术术，但阴差阳错之间，却自损阳寿供奉了胡家，成了出马的。  白山黑水，天材地宝。  一方水土养育一方人，千里冰封的豪气，五色秋山的壮阔，还有有山花烂漫的关外风情。  行走在这边大地上，带你领略东北风情，感受不一样的狐仙魇灵。  这里有老宅，野外，坟圈子的奇异怪闻，也有侦探推理，诡秘的分析。  因果报应，天道循环。  带着你揭开一个又一个民间悬疑光怪陆离的事件。 "	"更新时间：2022-02-19 09:24:00"	"http://www.shuhai.com/book/109991.htm"
"42"	"吞噬仙道"	"基督山伯爵"	"117.5万点击"	"91.6万字"	"[修真, 废材流, 练功流, 升级, 修仙]"	"1393推荐"	"  本书已完本，感谢支持。QQ群：****——  原来天道的奥妙在这里？凡人武道突破天人极限，就发现了身体之中深深隐藏的奥妙。入微之中再现入微，一个全新的体内世界创造诞生，日月星辰，芸芸众生，赐你无边法力。  用凡人的眼光，我只看到了武道十层。  用仙人的大道，我只看到了乾坤十境。  用真正的无上天道，我看到了无穷宇宙，亿万星空。  我创造肉身世界，芸芸众生！  我开天辟地，只为手掌乾坤！ "	"更新时间：2013-07-01 14:00:07"	"http://www.shuhai.com/book/347.htm"
"43"	"天下第一师"	"闻人带刀"	"362.7万点击"	"72.3万字"	"[都市, 校园, 老师]"	"309推荐"	"  天不生刘寒，万古长如夜。这是一个小教师调教大都市的故事 "	"更新时间：2019-01-15 14:38:34"	"http://www.shuhai.com/book/44154.htm"
"44"	"奇门下山神医"	"月华风柔"	"566.6万点击"	"234.7万字"	"[都市, 神医, 强者]"	"94推荐"	"  聂寒因为一纸婚约，下山娶妻，成为上门女婿，面对众人嘲讽，他以实力打脸，是龙得盘着，是虎得卧着，有人不服？那就打到服为止。 "	"更新时间：2023-11-12 10:31:00"	"http://www.shuhai.com/book/110770.htm"
"45"	"山海经密档"	"缪热"	"123.2万点击"	"122.6万字"	"[都市, 道士, 回归, 风水, 特工]"	"679推荐"	"  《山海经》并不是一部无据可考的天授神书，而是上古文明撇下的一个漂流瓶，它密封着神秘的基因图谱，历经漫长的时光之河漂流至今……在这个漂流瓶内，有关于地球文明的几次更迭，以及在更迭过程中，有关于地球文明的基因密码都隐藏其中！  而地球，这颗在银河系中已经存在了四十五亿年的蓝色星球，我们的人类文明之于她而言，从发轫之始到发展至今，只不过是一天中的一秒，而在这一秒钟的时间单位之外，这颗星球上却历经了几次高度文明的更迭，虽然这样的更迭过程没有历史的传承和记载，但人类文明的基因却得以延续，这绝非偶然！  一对冤家恋人，由此踏上地球文明寻根问祖的艰险历程……  也许，是冥冥中的注定，让人类文明得以重启！  神开启了世界，时间的齿轮一旦转动，就不会停止…… "	"更新时间：2020-12-07 10:15:07"	"http://www.shuhai.com/book/54350.htm"
"46"	"柯南之百年黄泉"		"602.5万点击"	"67.5万字"	"[同人, 机智, 脑洞满天飞]"	"1388推荐"	"  穿行到剧情结束万年后的柯南世界，时间线混乱，为求解脱，不得已又回到剧情前的七十年。  胡逸，来到这个时代和BOSS一起携手建立组织，寻找真相的迷途人。  奈何人心难测，为保护变小的灰原哀，他终究走上设局坑杀众人的道路。  失去的记忆、克隆的身体，一切的谜团都在这个时间混乱的柯南世界里扑朔迷离。  “这下成反派BOSS了？成了柯南的敌对势力，这怎么玩？必须要洗白啊！”胡逸摸摸下巴，一脸沉思。 "	"更新时间：2023-12-13 15:47:37"	"http://www.shuhai.com/book/111443.htm"
"47"	"罗布泊密档"	"微尘"	"439.6万点击"	"160.5万字"	"[都市, 热血, 凶案, 冒险, 探宝]"	"55推荐"	"  诡异失踪的探险家，消失于大漠的古文明，引起无数怪谈的双鱼玉佩……罗布泊到底隐藏着什么秘密…… "	"更新时间：2021-08-10 23:31:56"	"http://www.shuhai.com/book/59159.htm"
"48"	"仙界寻美专家"	"夜秦"	"78.1万点击"	"159.0万字"	"[修真, 废材流, 练功流, 升级, 修仙]"	"410推荐"	"  小公务员陆羽某天醒来，发现自己穿越到了一个仙侠的世界。  道法、仙剑、长生…… "	"更新时间：2020-11-17 15:08:33"	"http://www.shuhai.com/book/798.htm"
"49"	"火影之苍炎传"	"刺猬宁"	"300.4万点击"	"74.1万字"	"[同人, 火影, 铁血, 励志, 轻松]"	"1524推荐"	"  假如水影不再是孬种？  假如红豆不再是红薯？  这是一个与博人传截然不同的火影续集！  也是一个专属于木叶丸与花火的故事…… "	"更新时间：2019-02-28 23:10:00"	"http://www.shuhai.com/book/45997.htm"
"50"	"我靠不断模拟成就大能"	"阿夜夜"	"321.1万点击"	"105.9万字"	"[玄幻, 系统, 修仙]"	"235推荐"	"  穿越到叶家，干了两年护卫，李天佑终于激活了人生模拟系统，开始未卜先知、逢凶化吉的一生——  【第一天，你领了侍卫的俸禄，积蓄达到三十两白银，打算在叶雨晴生辰之际，送点东西给人家以表感激。】  【第二天，家主叶天龙把你叫到书房，隐晦的告诉你，想让你忘记娃娃亲的事情，你当下就表明自己心中只有变强，于是他给了你一本修炼功法《淬体九脉》。】  【第三天，你在修炼功法《淬体九脉》。】  【第六天，叶雨晴生辰之日，你带上买好的点心来到了对方闺房，虽然点心很廉价，但她很高兴很感动，想要亲吻你的脸颊，你连忙推开，然后走了。】  【第十天，你修炼功法《淬体九脉》，终于开了第一脉，成为了九品武者。】  【第十一天，夜晚你在府中巡逻，不知不觉就来到了叶雨晴的闺房外，你想要找她说清楚两人的事情，正打算敲门，却听到里面传来淫秽之言，你立即踹门冲了进去，三分钟后你死了。】  ……  第N次模拟后：【你，天下无敌！】 "	"更新时间：2023-09-28 23:00:00"	"http://www.shuhai.com/book/110566.htm"
